text,datetime,hashtags,reactions,comments
"Been an absolute pleasure to work with Jaspar Carmichael-Jack and the rest of the team at Artisan. Hands down, one of the easiest and best ways to generate leads, drive business and get the word out. Not to mention a truly exceptional customer experience. Way to do it! We're fans! Been an absolute pleasure to work with Jaspar Carmichael-Jack and the rest of the team at Artisan. Hands down, one of the easiest and best ways to generate leads, drive business and get the word out. Not to mention a truly exceptional customer experience. Way to do it! We're fans! Jaspar Carmichael-Jack The most successful outbound sales campaigns don't pitch a product. At least, not right away

Our CS team has been working with 100s of customers using Artisan and have found that across the board, the top-performing campaigns are the ones that prioritize building a relationship with prospects, above all else

Our CSMs comes from top lead generation agencies and brings years of hands-on experience creating outbound campaigns for clients - we want to set all of our users up for the best chance of success

And what they've found is one tactic that works really well is withholding the sell until the second or third message. Make the first message about offering the prospect something they want

A great example of this is hpy, a mental health platform designed to enhance the therapy experience. After testing a bunch of different outbound approaches, the campaign that outperformed all others was one inviting therapists to be guests on their podcast

In fact, they received so many high quality responses that they're struggling to keep up with demand!

Read more about hpy’s approach (and results) in our latest case study: The most successful outbound sales campaigns don't pitch a product. At least, not right away

Our CS team has been working with 100s of customers using Artisan and have found that across the board, the top-performing campaigns are the ones that prioritize building a relationship with prospects, above all else

Our CSMs comes from top lead generation agencies and brings years of hands-on experience creating outbound campaigns for clients - we want to set all of our users up for the best chance of success

And what they've found is one tactic that works really well is withholding the sell until the second or third message. Make the first message about offering the prospect something they want

A great example of this is hpy, a mental health platform designed to enhance the therapy experience. After testing a bunch of different outbound approaches, the campaign that outperformed all others was one inviting therapists to be guests on their podcast

In fact, they received so many high quality responses that they're struggling to keep up with demand!

Read more about hpy’s approach (and results) in our latest case study:",2 weeks ago • Visible to anyone on or off LinkedIn,,30 reactions,1
"The most successful outbound sales campaigns don't pitch a product. At least, not right away

Our CS team has been working with 100s of customers using Artisan and have found that across the board, the top-performing campaigns are the ones that prioritize building a relationship with prospects, above all else

Our CSMs comes from top lead generation agencies and brings years of hands-on experience creating outbound campaigns for clients - we want to set all of our users up for the best chance of success

And what they've found is one tactic that works really well is withholding the sell until the second or third message. Make the first message about offering the prospect something they want

A great example of this is hpy, a mental health platform designed to enhance the therapy experience. After testing a bunch of different outbound approaches, the campaign that outperformed all others was one inviting therapists to be guests on their podcast

In fact, they received so many high quality responses that they're struggling to keep up with demand!

Read more about hpy’s approach (and results) in our latest case study: The most successful outbound sales campaigns don't pitch a product. At least, not right away

Our CS team has been working with 100s of customers using Artisan and have found that across the board, the top-performing campaigns are the ones that prioritize building a relationship with prospects, above all else

Our CSMs comes from top lead generation agencies and brings years of hands-on experience creating outbound campaigns for clients - we want to set all of our users up for the best chance of success

And what they've found is one tactic that works really well is withholding the sell until the second or third message. Make the first message about offering the prospect something they want

A great example of this is hpy, a mental health platform designed to enhance the therapy experience. After testing a bunch of different outbound approaches, the campaign that outperformed all others was one inviting therapists to be guests on their podcast

In fact, they received so many high quality responses that they're struggling to keep up with demand!

Read more about hpy’s approach (and results) in our latest case study:",2 weeks ago • Visible to anyone on or off LinkedIn,,77 reactions,8
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
"If you come up with a slogan we use on a billboard, we’ll give you $1k cash

We’re planning our next billboard campaign and want your help coming up with ideas! Comment your idea for a slogan/phrase we could use below, and if we use it we’ll give you $1k

We have 2 goals with billboards slogans:
1. Boost brand awareness and cement Artisans as -the- AI Employees
2. Drive customer acquisition for Ava, our AI BDR

Some examples of slogans we’ve used before:
- Stop Hiring Humans
- Hire Artisans, Not Humans
- Artisans Won’t Come Into Work Hungover
- Artisans Won’t “Work from Beach”
- Humans Are So 2023
- Interview Ava, the AI BDR (with a phone #)

I’ve included some pics of a mini campaign that went up this month below 🤠 If you come up with a slogan we use on a billboard, we’ll give you $1k cash

We’re planning our next billboard campaign and want your help coming up with ideas! Comment your idea for a slogan/phrase we could use below, and if we use it we’ll give you $1k

We have 2 goals with billboards slogans:
1. Boost brand awareness and cement Artisans as -the- AI Employees
2. Drive customer acquisition for Ava, our AI BDR

Some examples of slogans we’ve used before:
- Stop Hiring Humans
- Hire Artisans, Not Humans
- Artisans Won’t Come Into Work Hungover
- Artisans Won’t “Work from Beach”
- Humans Are So 2023
- Interview Ava, the AI BDR (with a phone #)

I’ve included some pics of a mini campaign that went up this month below 🤠",2 months ago • Visible to anyone on or off LinkedIn,"#), #)",196 reactions,167
"Looking to speak to some people in customer experience leadership roles at large enterprise companies who have a large human-driven voice/call center operation 

Any intros would be hugely appreciated! My email is Looking to speak to some people in customer experience leadership roles at large enterprise companies who have a large human-driven voice/call center operation 

Any intros would be hugely appreciated! My email is",2 months ago • Visible to anyone on or off LinkedIn,,49 reactions,1
"We're looking for exceptional founders to quit their startup, join our team, and build the future of software

We’ll either:

1. Acquire your startup and help you catalyze it into an Artisan and software ecosystem

2. Work with you to build a team and launch a new vertical from scratch

Software is broken. Companies juggle dozens of tools just to complete a single workflow

Each tool holds a sliver of the solution, yet none of them work seamlessly together

Humans are stuck in the trenches, manually entering data, toggling between platforms, and spending countless hours on tasks that we can ALREADY automate

It’s a story repeated in every industry, across every vertical—a cycle of inefficiency that wastes millions of human hours and holds society back

This is the problem we’re here to fix

We're building the next generation of software across verticals and industries: AI-first, fully consolidated, and powered by AI Employees—Artisans—at its core

If you're interested in joining us to launch an Artisan vertical, tell me why: We're looking for exceptional founders to quit their startup, join our team, and build the future of software

We’ll either:

1. Acquire your startup and help you catalyze it into an Artisan and software ecosystem

2. Work with you to build a team and launch a new vertical from scratch

Software is broken. Companies juggle dozens of tools just to complete a single workflow

Each tool holds a sliver of the solution, yet none of them work seamlessly together

Humans are stuck in the trenches, manually entering data, toggling between platforms, and spending countless hours on tasks that we can ALREADY automate

It’s a story repeated in every industry, across every vertical—a cycle of inefficiency that wastes millions of human hours and holds society back

This is the problem we’re here to fix

We're building the next generation of software across verticals and industries: AI-first, fully consolidated, and powered by AI Employees—Artisans—at its core

If you're interested in joining us to launch an Artisan vertical, tell me why:",2 months ago • Visible to anyone on or off LinkedIn,,329 reactions,30
"Over 1000 people have taken the assessment for our new merit-based engineering hiring process and dozens have gotten interviews

If you didn't see my recent post, we've moved away from hiring based on past school/company and shifted focus to demonstrable skills

We're seeing early signs of success with many candidates who we would have previously passed on making their way through our hiring process!

If you want to take the assessment for a chance to join the Artisan engineering team (very competitive salary/equity, SF in person and global remote), head to

(Don't cheat, we can detect if you do... 👀 ) Over 1000 people have taken the assessment for our new merit-based engineering hiring process and dozens have gotten interviews

If you didn't see my recent post, we've moved away from hiring based on past school/company and shifted focus to demonstrable skills

We're seeing early signs of success with many candidates who we would have previously passed on making their way through our hiring process!

If you want to take the assessment for a chance to join the Artisan engineering team (very competitive salary/equity, SF in person and global remote), head to

(Don't cheat, we can detect if you do... 👀 )",2 months ago • Visible to anyone on or off LinkedIn,,89 reactions,15
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
"In the past week, our ""Stop Hiring Humans"" billboard campaign has organically generated 10s of millions of impressions, millions of likes, 1000s of death threats, 100s of articles and our biggest growth months ever. 

Was it worth it? Yes.

I put together a blog post breaking down the campaign - you can read it at In the past week, our ""Stop Hiring Humans"" billboard campaign has organically generated 10s of millions of impressions, millions of likes, 1000s of death threats, 100s of articles and our biggest growth months ever. 

Was it worth it? Yes.

I put together a blog post breaking down the campaign - you can read it at",4 months ago • Visible to anyone on or off LinkedIn,,287 reactions,49
"✨ Shoutout to the incredible team at Artisan! ✨
Working with Tina Sang, Alex Hale-Jones, Jacob Ballachino and Martin has been an absolute pleasure. Their customer service is truly next-level—professional, attentive, and genuinely focused on making their clients feel valued.

From the very first interaction, it was clear that this team doesn’t just check boxes; they go above and beyond to ensure every question is answered and every need is met. Whether it’s through their clear communication, proactive support, or the thoughtful way they approach challenges, Artisan stands out as a company that really gets it.

I can’t recommend Artisan enough. They’ve set a high bar for what customer service should look like, and I’m so grateful to have had the chance to experience it firsthand.🙌 ✨ Shoutout to the incredible team at Artisan! ✨
Working with Tina Sang, Alex Hale-Jones, Jacob Ballachino and Martin has been an absolute pleasure. Their customer service is truly next-level—professional, attentive, and genuinely focused on making their clients feel valued.

From the very first interaction, it was clear that this team doesn’t just check boxes; they go above and beyond to ensure every question is answered and every need is met. Whether it’s through their clear communication, proactive support, or the thoughtful way they approach challenges, Artisan stands out as a company that really gets it.

I can’t recommend Artisan enough. They’ve set a high bar for what customer service should look like, and I’m so grateful to have had the chance to experience it firsthand.🙌 Artisan Artisan Tina Sang Alex Hale-Jones Jacob Ballachino",4 months ago • Edited • Visible to anyone on or off LinkedIn,,58 reactions,3
"The Top 16 Agents Transforming the Future of Enterprise Workflows | As AI agents gain traction (LLM-powered bots that can independently reason and execute tasks), CEOs will be seeking to streamline workflows across sales, customer support, and other functional areas. This graphic shows 16 agents that are well positioned to leverage AI for business impact for:
💵 Sales
👨‍💻 Customer Support
⚙ Productivity
✨ Software Development
🛡 Cybersecurity
📘 Research & Compliance

| S/O tofor their extensive research |
|
- The Top 16 Agents Transforming the Future of Enterprise Workflows | As AI agents gain traction (LLM-powered bots that can independently reason and execute tasks), CEOs will be seeking to streamline workflows across sales, customer support, and other functional areas. This graphic shows 16 agents that are well positioned to leverage AI for business impact for:
💵 Sales
👨‍💻 Customer Support
⚙ Productivity
✨ Software Development
🛡 Cybersecurity
📘 Research & Compliance

| S/O tofor their extensive research |
|
-",4 months ago • Edited • Visible to anyone on or off LinkedIn,,78 reactions,9
"We got to ~$3M ARR in 5 months with our AI BDR. Here’s how. 

I’ve said before that winning as a startup comes down to 2 things:

1. Product
2. Distribution

We started with a pretty terrible strategy for both…

Our first product sucked - we followed the YC methodology of launching early and iterating. Our MVP didn’t work, the UI was terrible and features were lacking heavily

Though this was a painful process, it enabled us to iterate and build faster than we would have otherwise

We also had no brand awareness, no SEO and no GTM strategy (as you’d expect for a pre-seed startup)

We started with product-led growth, which was a terrible model for us – users never finished onboarding, our ACV was too low, the time-to-value was too long, etc

Think hard about whether product-led is right for you or if you should be doing sales-led

———

We rebuilt our entire strategy to hit $3m ARR in a few months

Product:

We rebuilt everything and launched V2 of our AI BDR, Ava, in May. The relaunch had a completely new UI and features our users had been asking for. We did 100s of user interviews to understand what our users wanted, and built:

- Live lead research across LinkedIn, X, news and the web to create hyper-personalized emails and LI messages

- New data sources to complement our B2B data including E-Commerce and Local Business Data

- Magic Campaigns, so Ava can create your campaign messaging for you
+ much more

We’re working on a huge release for V4 of Artisan in Q1, so stay tuned 🦄

Distribution:

We built an extremely robust GTM strategy, spanning:

- A comprehensive outbound strategy using Ava, our AI BDR
- Our SF “Stop Hiring Humans” billboard campaign
- Our TechCrunch Disrupt sponsorship
- Ramped up SEO efforts
- Funding announcements combined with big brand pushes

———

We’re now consistently closing ~$1M of ARR every month and will continue to double down our efforts on building the best product on the market & maintaining our position as a market leader in AI Sales & AI Employees

We have some VERY exciting new products beyond just outbound coming early next year 🤓

If you want to learn more about Ava: We got to ~$3M ARR in 5 months with our AI BDR. Here’s how. 

I’ve said before that winning as a startup comes down to 2 things:

1. Product
2. Distribution

We started with a pretty terrible strategy for both…

Our first product sucked - we followed the YC methodology of launching early and iterating. Our MVP didn’t work, the UI was terrible and features were lacking heavily

Though this was a painful process, it enabled us to iterate and build faster than we would have otherwise

We also had no brand awareness, no SEO and no GTM strategy (as you’d expect for a pre-seed startup)

We started with product-led growth, which was a terrible model for us – users never finished onboarding, our ACV was too low, the time-to-value was too long, etc

Think hard about whether product-led is right for you or if you should be doing sales-led

———

We rebuilt our entire strategy to hit $3m ARR in a few months

Product:

We rebuilt everything and launched V2 of our AI BDR, Ava, in May. The relaunch had a completely new UI and features our users had been asking for. We did 100s of user interviews to understand what our users wanted, and built:

- Live lead research across LinkedIn, X, news and the web to create hyper-personalized emails and LI messages

- New data sources to complement our B2B data including E-Commerce and Local Business Data

- Magic Campaigns, so Ava can create your campaign messaging for you
+ much more

We’re working on a huge release for V4 of Artisan in Q1, so stay tuned 🦄

Distribution:

We built an extremely robust GTM strategy, spanning:

- A comprehensive outbound strategy using Ava, our AI BDR
- Our SF “Stop Hiring Humans” billboard campaign
- Our TechCrunch Disrupt sponsorship
- Ramped up SEO efforts
- Funding announcements combined with big brand pushes

———

We’re now consistently closing ~$1M of ARR every month and will continue to double down our efforts on building the best product on the market & maintaining our position as a market leader in AI Sales & AI Employees

We have some VERY exciting new products beyond just outbound coming early next year 🤓

If you want to learn more about Ava:",4 months ago • Visible to anyone on or off LinkedIn,,324 reactions,26
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
"Mass emails feel impersonal. We get it.

That's why we built the Data Miner.

It gathers data from dozens of sources – everything from LinkedIn posts to hiring news – giving you the insights to make every message tailored to the individual.

Here's what it offers:

↳ Access to over 300 million B2B contacts
↳ Company growth signals like hiring and fundraising
↳ Real-time insights from social media to press releases
↳ Seamless integrations with your favorite sales tools

Ready to see it in action?

Book a Demo: Mass emails feel impersonal. We get it.

That's why we built the Data Miner.

It gathers data from dozens of sources – everything from LinkedIn posts to hiring news – giving you the insights to make every message tailored to the individual.

Here's what it offers:

↳ Access to over 300 million B2B contacts
↳ Company growth signals like hiring and fundraising
↳ Real-time insights from social media to press releases
↳ Seamless integrations with your favorite sales tools

Ready to see it in action?

Book a Demo:",6 months ago • Visible to anyone on or off LinkedIn,,77 reactions,8
"In 3 years there will be no human BDRs.

Ok maybe that's slightly dramatic but there will be significantly less. The role of a BDR has become increasingly automated, but until now, no technology could fully replicate what a human can do. That’s about to change

I've chatted with 100s of BDRs who are excited about Artisan. No BDRs actually want to be BDRs - they want to build human relationships in an AE role

And companies are ready to spend less on their BDR org. For reference, Ava (our AI BDR) costs 90%+ less than the equivalent human output

Traditionally, the BDR role consists of a series of extremely manual tasks:

Build a list of contacts from a B2B data provider
Verify their contact info
Look for personalizations across their LinkedIn, X, news, etc
Prospect through channels like email, phone, or social media
Follow up
Respond to objections
Book in meetings
Update CRM

Automation has been slowly eating away at the BDR’s role for a long time and we're approaching a fully autonomous AI BDR. By 2025, AI BDRs will be list building, prospecting, qualifying over the phone, objection handling, booking meetings, taking notes, and updating CRMs autonomously

Ava already automates 80% of a BDRs role, finding leads, collecting data on from dozens of sources to effectively personalize emails and LinkedIn messages at scale, and managing deliverability

None of our prospects that receive Ava’s emails even realize she’s AI. Ava ghostwrites on behalf of humans

Ava is changing the way sales orgs function. You can learn more at In 3 years there will be no human BDRs.

Ok maybe that's slightly dramatic but there will be significantly less. The role of a BDR has become increasingly automated, but until now, no technology could fully replicate what a human can do. That’s about to change

I've chatted with 100s of BDRs who are excited about Artisan. No BDRs actually want to be BDRs - they want to build human relationships in an AE role

And companies are ready to spend less on their BDR org. For reference, Ava (our AI BDR) costs 90%+ less than the equivalent human output

Traditionally, the BDR role consists of a series of extremely manual tasks:

Build a list of contacts from a B2B data provider
Verify their contact info
Look for personalizations across their LinkedIn, X, news, etc
Prospect through channels like email, phone, or social media
Follow up
Respond to objections
Book in meetings
Update CRM

Automation has been slowly eating away at the BDR’s role for a long time and we're approaching a fully autonomous AI BDR. By 2025, AI BDRs will be list building, prospecting, qualifying over the phone, objection handling, booking meetings, taking notes, and updating CRMs autonomously

Ava already automates 80% of a BDRs role, finding leads, collecting data on from dozens of sources to effectively personalize emails and LinkedIn messages at scale, and managing deliverability

None of our prospects that receive Ava’s emails even realize she’s AI. Ava ghostwrites on behalf of humans

Ava is changing the way sales orgs function. You can learn more at",6 months ago • Visible to anyone on or off LinkedIn,,109 reactions,17
"Your first 5 hires at a startup determine whether it lives or dies. Here are the first hires we made at Artisan that put us on the path to $1M ARR:

1. Engineer
2. Engineer
3. Product Manager
4. Product Designer
5. Chief of Staff

Here’s how each hire played a fundamental role in getting us from 0 to 1:

1 & 2.  Engineer:

Our first product is all-in-one outbound sales platform that consolidates 10s of tools and contains an AI BDR. We couldn’t build that with just one person – we needed more manpower

The first hires we made were engineers (one FE, one BE) and they were instrumental in building our MVP

3. Product Manager:

We’ve always been product obsessed, and every feature we create needs to be 10x better than existing solutions

To help us ensure this, we hired a PM who eventually became my co-founder, Sam!

4. Product Designer:

Most B2B software looks tired We want to create B2B SaaS that feels like using a consumer app

The UI of our MVP was terrible when we first launched it, and we realized how important it was to have a great interface so customers would actually enjoy using the product

We hired a Product Designer so we could create the best UI of any AI SDR tool on the market – and it has made a fundamental difference to our users’ experience

5. Chief of Staff:

Most startups don’t hire a CoS until post Series A. But the value you get from hiring a talented generalist that can do everything is extremely underrated

My CoS Tina was able to take full days of sales calls, create really strong content for our marketing channels & help with hiring demands and expanding our existing team

Now that we’ve hit $1M and are shifting focus to scaling existing processes, we’re looking to hire more drivers (especially engineers) to help us scale to $10M and beyond

Building the right team has enabled us to build the best AI SDR. We have the most comprehensive data, wide-reaching set of features, best personalizations, and an unparalleled user experience

If you want to see Ava & Artisan for yourself, you can book a demo here: Your first 5 hires at a startup determine whether it lives or dies. Here are the first hires we made at Artisan that put us on the path to $1M ARR:

1. Engineer
2. Engineer
3. Product Manager
4. Product Designer
5. Chief of Staff

Here’s how each hire played a fundamental role in getting us from 0 to 1:

1 & 2.  Engineer:

Our first product is all-in-one outbound sales platform that consolidates 10s of tools and contains an AI BDR. We couldn’t build that with just one person – we needed more manpower

The first hires we made were engineers (one FE, one BE) and they were instrumental in building our MVP

3. Product Manager:

We’ve always been product obsessed, and every feature we create needs to be 10x better than existing solutions

To help us ensure this, we hired a PM who eventually became my co-founder, Sam!

4. Product Designer:

Most B2B software looks tired We want to create B2B SaaS that feels like using a consumer app

The UI of our MVP was terrible when we first launched it, and we realized how important it was to have a great interface so customers would actually enjoy using the product

We hired a Product Designer so we could create the best UI of any AI SDR tool on the market – and it has made a fundamental difference to our users’ experience

5. Chief of Staff:

Most startups don’t hire a CoS until post Series A. But the value you get from hiring a talented generalist that can do everything is extremely underrated

My CoS Tina was able to take full days of sales calls, create really strong content for our marketing channels & help with hiring demands and expanding our existing team

Now that we’ve hit $1M and are shifting focus to scaling existing processes, we’re looking to hire more drivers (especially engineers) to help us scale to $10M and beyond

Building the right team has enabled us to build the best AI SDR. We have the most comprehensive data, wide-reaching set of features, best personalizations, and an unparalleled user experience

If you want to see Ava & Artisan for yourself, you can book a demo here:",6 months ago • Visible to anyone on or off LinkedIn,,226 reactions,20
I’m happy to share that I’m starting a new position as Account Executive at Artisan! I’m happy to share that I’m starting a new position as Account Executive at Artisan! Artisan Artisan,6 months ago • Visible to anyone on or off LinkedIn,,178 reactions,51
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
N/A,unknown,,0,0
"Artisan has just closed over $700k of ARR in 2 months. This is how I joined the founding team of a hyper-growth startup, without any relevant experience.

I spent a year applying to tech startups without getting any interviews or responses. I knew AI was a field I wanted to go into, but had no idea where to start. I only had ~1 year of experience working in PR, which would hardly make me stand out in a sea of applicants.

Here's what I did in that year, which finally landed me the CoS role at Artisan:

1. Created a list of AI startups that were fast growth, recently raised funding. I checked their job listings religiously.

2. Went to local networking events for founders and startups.

3. Checked the YC job board daily.

4. Used AI in every part of my life and read up on it constantly.

5. Reached out to people I thought were interesting on LinkedIn for coffee chats & insights into the industry.

6. Applied to every open listing that I was remotely interested in.

In December 2023, I got an interview with ElevenLabs. It was the first sign since I started my job hunt that someone was interested. The interviews went well, but as a Series A company, they were looking for someone with way more experience. I was crushed.

In January, I applied tovia their careers form (), not expecting to hear back. The next day,messaged me to chat.

Here's what I did during the interview process that landed me the job:

1. Phrased my background to justify every step of my journey. I studied English at Oxford (talent for storytelling), went into PR (business operations interest), then moved from healthcare to tech (wanted to contribute to tech's global impact).

2. Was extremely responsive & hard working. I left Saturday plans early for a follow-up interview, spent all of Sunday on my interview task, and worked trial evenings until 12am, after my usual 9 to 5.

3. Excelled at a tough task. Because I lacked experience, I was given a mammoth task to create a website strategy for Artisan's next product launch. I had no idea where to start. GPT was my consultant through the whole process, helping me create a framework from which to work from.

4. Showed confidence in the value I COULD bring, despite my non-traditional background.

Experience shouldn't matter in hiring. Look for intelligence, resourcefulness, scrappiness - qualities for thriving in fast-paced environments. Artisan took a chance on me, which paid off through my rapid growth and dedication.

Build these qualities:
- Resourcefulness
- An insane work ethic
- Perseverance
- Confidence in your value

and you'll catch someone's eye soon.

I've created a full doc on how to land the job you want. Comment below & I'll share it with you! Artisan has just closed over $700k of ARR in 2 months. This is how I joined the founding team of a hyper-growth startup, without any relevant experience.

I spent a year applying to tech startups without getting any interviews or responses. I knew AI was a field I wanted to go into, but had no idea where to start. I only had ~1 year of experience working in PR, which would hardly make me stand out in a sea of applicants.

Here's what I did in that year, which finally landed me the CoS role at Artisan:

1. Created a list of AI startups that were fast growth, recently raised funding. I checked their job listings religiously.

2. Went to local networking events for founders and startups.

3. Checked the YC job board daily.

4. Used AI in every part of my life and read up on it constantly.

5. Reached out to people I thought were interesting on LinkedIn for coffee chats & insights into the industry.

6. Applied to every open listing that I was remotely interested in.

In December 2023, I got an interview with ElevenLabs. It was the first sign since I started my job hunt that someone was interested. The interviews went well, but as a Series A company, they were looking for someone with way more experience. I was crushed.

In January, I applied tovia their careers form (), not expecting to hear back. The next day,messaged me to chat.

Here's what I did during the interview process that landed me the job:

1. Phrased my background to justify every step of my journey. I studied English at Oxford (talent for storytelling), went into PR (business operations interest), then moved from healthcare to tech (wanted to contribute to tech's global impact).

2. Was extremely responsive & hard working. I left Saturday plans early for a follow-up interview, spent all of Sunday on my interview task, and worked trial evenings until 12am, after my usual 9 to 5.

3. Excelled at a tough task. Because I lacked experience, I was given a mammoth task to create a website strategy for Artisan's next product launch. I had no idea where to start. GPT was my consultant through the whole process, helping me create a framework from which to work from.

4. Showed confidence in the value I COULD bring, despite my non-traditional background.

Experience shouldn't matter in hiring. Look for intelligence, resourcefulness, scrappiness - qualities for thriving in fast-paced environments. Artisan took a chance on me, which paid off through my rapid growth and dedication.

Build these qualities:
- Resourcefulness
- An insane work ethic
- Perseverance
- Confidence in your value

and you'll catch someone's eye soon.

I've created a full doc on how to land the job you want. Comment below & I'll share it with you! Artisan Artisan",8 months ago • Edited • Visible to anyone on or off LinkedIn,,290 reactions,30
